11000000000111 -- MOVLW 7 -> W = 7        Borrowed inputfile from Aleksi Korsman with his permission to be sure that we have same resultas
11111000000111 -- ADDLW 7 -> W = 14
00000010000001 -- MOVWF 0x01 -> 0x01 = 14
11110000011010 -- SUBLW 26 -> W = 12
00010100000001 -- ANDWF 1,0 -> W = 12
00011110000001 -- ADDWF 1,1 -> 0x01 = 26
00011100000001 -- ADDWF 1,0 -> W = 38
00100000000001 -- MOVF 0x01,0 -> W = 26
01000010000001 -- BCF 0x01,1 -> 0x01 = 24
01010100000010 -- BSF 0x02,2 -> 0x02 = 4
00100000000001 -- MOVF 0x01,0 -> W = 24
00100000000010 -- MOVF 0x02,0 -> W = 4
00100110000010 -- COMF 0x02,1 -> 0x02 = 251
00100000000010 -- MOVF 0x02,0 -> W = 251
00001100000001 -- DECF 0x01,0 -> W = 23
00101010000001 -- INCF 0x01,0 -> W = 25
00000100000000 -- CLRW -> W = 0
00111000000010 -- SWAPF 0x02,0 -> W = 191
11111001100100 -- ADDLW 100, -> W = 35 (carry generated)
00110010000001 -- RRF 0x01,1 -> 0x01 = 140
00110110000001 -- RLF 0x01,0 -> W = 24
00100010000011 -- MOVF 0x03 -> status register overridden
11100011100011 -- IORLW 227 -> W = 251
00011000000001 -- XORWF 0x01,0 -> W = 119
00000110000001 -- CLRF 1
00000100000001 -- CLRW 1
